id	document	label
857	이런새끼특징 지가 깨끗한줄앎 남들이보기엔 궁상따는씹찐따ㅇㅇ	0
4778	천한것들 답다	0
21844735	노란색 애 이름이 코로나네...	1
21846807	오케이 떙큐 사딸라	1
21820259	이종간도 괜찮으면	1
21630891	ㅇ 본문거랑 비슷한거 알려달라길래	1
21800552	넓다 하더라도 산이 많아서.....	1
6939	정말보기좋네요 오래오래 행복하게 사세요 .. 김송님 정말 대단하세요 ..	1
3110	ㅂㄱㅎ정부때 사찰 관련해서 ㅈ.ㄹ을 하더니 더한 놈들이었네	0
21696288	아세로라 초기작 같은데 네토라레 여동생 미사킨가 확실한진 모르겠다 가위바위보 벗는건 이건지 아닌지 가물가물함 오빠랑 사는건 맞고	1
21648369	기믹은 타락,흡수,세뇌,최면,면간,강간 다 안가리고	1
6450	국시 거부 한 의대생들의 강한 의지가 지속되길 바랍니다. 그차하게 구제를 바라지도 말고 일단 한해 놀아보시고 정 안 되겠다 싶으면 다른 일 알인보시길.. 하기싫은 의사 안하는게 맞지요 하고싶은 사람 할 수 있도록..	1
21856492	파국이네	1
4439	총체적 난국이다...	1
21840047	프심, 토끼와 수성의 발라드	1
8834	시발년이네남친 잇냐?	0
21845861	10년전에 함	1
21647721	아니면 댓글 좀 나도 궁금하다.	1
8427	그래도 유혹자 포상휴가는 가야죠	1
3815	한국 여성들 김치소리에 발끈하는데 니들은 뼛속꺼지 김치쉰녀들이다.니들 여기서 댓글 남긴걸 봐.왜 임신하면 님자만 나쁘다 욕들을 쳐하냐.그것 자체가 김치녀라는 증거다	0
8832	응 자살ㅠㅠ	0
21696694	넵!	1
21633797	그거 아냐! 지금 바로 섬홍 고우!	1
21847200	엄... 예전부터 f95 명시하고 링크 올렸었는데 안됐었나요?	1
21819918	스완은 그 이벤트 후에 6.5층 열쇠 얻으면 만날 수 있음	1
5253	진짜 사람새끼들 아니네 ㅡㅡ	0
21637042	아 ㅋㅋ 무희옷은 못참지 근데 옷이 이쁘면서 꼴린다고 해야하나 꼴림원툴.	1
21654770	네~ 란스9 헬만혁명이요~	1
21880637	돈 얼마나 들음?	1
4996	난 너무 재미있음송중기 눈빛 와 설렘~~~말타는거보고 외국 영화인줄~~~장동건 중후하고 분위기 있고 역시란 말이 절로 나온다~한류가 커져서 이런 퀄리티 드라마를 볼수 있는거에 감사한다~	1
21879299	여기있음...잘찾아보셈	1
2321	징그러 구역질 난다.	0
21645391	일상이 반찬인데수	1
21654005	겜 이름은 헨타이 라비린스	1
21785812	정력이 좋은거야? 조루인거야?	1
